[0/2] Re-checking globbed directories...
[90/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/circular-aperture-antenna-model.cc.o
[91/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/uinteger-16-probe.cc.o
[92/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/uinteger-32-probe.cc.o
[93/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/uinteger-8-probe.cc.o
[94/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/antenna-model.cc.o
[95/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/parabolic-antenna-model.cc.o
[96/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/cosine-antenna-model.cc.o
[97/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/isotropic-antenna-model.cc.o
[98/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/phased-array-model.cc.o
[99/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/three-gpp-antenna-model.cc.o
[100/296] Building CXX object src/network/CMakeFiles/network.dir/helper/delay-jitter-estimation.cc.o
[101/296] Building CXX object src/network/CMakeFiles/network.dir/helper/application-container.cc.o
[102/296] Building CXX object src/network/CMakeFiles/network.dir/helper/application-helper.cc.o
[103/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/uniform-planar-array.cc.o
[104/296] Building CXX object src/network/CMakeFiles/network.dir/helper/net-device-container.cc.o
[105/296] Building CXX object src/network/CMakeFiles/network.dir/helper/packet-socket-helper.cc.o
[106/296] Building CXX object src/network/CMakeFiles/network.dir/helper/node-container.cc.o
[107/296] Building CXX object src/network/CMakeFiles/network.dir/model/address.cc.o
[108/296] Building CXX object src/network/CMakeFiles/network.dir/model/buffer.cc.o
[109/296] Building CXX object src/network/CMakeFiles/network.dir/model/application.cc.o
[110/296] Building CXX object src/network/CMakeFiles/network.dir/helper/simple-net-device-helper.cc.o
[111/296] Building CXX object src/network/CMakeFiles/network.dir/model/byte-tag-list.cc.o
[112/296] Building CXX object src/network/CMakeFiles/network.dir/model/channel.cc.o
[113/296] Building CXX object src/network/CMakeFiles/network.dir/model/channel-list.cc.o
[114/296] Building CXX object src/network/CMakeFiles/network.dir/model/chunk.cc.o
[115/296] Building CXX object src/network/CMakeFiles/network.dir/helper/trace-helper.cc.o
[116/296] Building CXX object src/network/CMakeFiles/network.dir/model/header.cc.o
[117/296] Building CXX object src/network/CMakeFiles/network.dir/model/nix-vector.cc.o
[118/296] Building CXX object src/network/CMakeFiles/network.dir/model/net-device.cc.o
[119/296] Building CXX object src/network/CMakeFiles/network.dir/model/packet-tag-list.cc.o
[120/296] Building CXX object src/network/CMakeFiles/network.dir/model/node-list.cc.o
[121/296] Building CXX object src/network/CMakeFiles/network.dir/model/packet-metadata.cc.o
[122/296] Building CXX object src/network/CMakeFiles/network.dir/model/packet.cc.o
[123/296] Building CXX object src/network/CMakeFiles/network.dir/model/socket-factory.cc.o
[124/296] Building CXX object src/network/CMakeFiles/network.dir/model/tag-buffer.cc.o
[125/296] Building CXX object src/network/CMakeFiles/network.dir/utils/address-utils.cc.o
[126/296] Building CXX object src/network/CMakeFiles/network.dir/utils/crc32.cc.o
[127/296] Building CXX object src/network/CMakeFiles/network.dir/model/tag.cc.o
[128/296] Building CXX object src/network/CMakeFiles/network.dir/model/socket.cc.o
[129/296] Building CXX object src/network/CMakeFiles/network.dir/model/trailer.cc.o
[130/296] Building CXX object src/network/CMakeFiles/network.dir/utils/bit-deserializer.cc.o
[131/296] Building CXX object src/network/CMakeFiles/network.dir/utils/bit-serializer.cc.o
[132/296] Building CXX object src/network/CMakeFiles/network.dir/model/node.cc.o
[133/296] Building CXX object src/network/CMakeFiles/network.dir/utils/data-rate.cc.o
[134/296] Building CXX object src/network/CMakeFiles/network.dir/utils/error-channel.cc.o
[135/296] Building CXX object src/network/CMakeFiles/network.dir/utils/ethernet-header.cc.o
[136/296] Building CXX object src/network/CMakeFiles/network.dir/utils/drop-tail-queue.cc.o
[137/296] Building CXX object src/network/CMakeFiles/network.dir/utils/ethernet-trailer.cc.o
[138/296] Building CXX object src/network/CMakeFiles/network.dir/utils/dynamic-queue-limits.cc.o
[139/296] Building CXX object src/network/CMakeFiles/network.dir/utils/inet-socket-address.cc.o
[140/296] Building CXX object src/network/CMakeFiles/network.dir/utils/flow-id-tag.cc.o
[141/296] Building CXX object src/network/CMakeFiles/network.dir/utils/inet6-socket-address.cc.o
[142/296] Building CXX object src/network/CMakeFiles/network.dir/utils/error-model.cc.o
[143/296] Building CXX object src/network/CMakeFiles/network.dir/utils/ipv4-address.cc.o
[144/296] Building CXX object src/network/CMakeFiles/network.dir/utils/llc-snap-header.cc.o
[145/296] Building CXX object src/network/CMakeFiles/network.dir/utils/ipv6-address.cc.o
[146/296] Building CXX object src/network/CMakeFiles/network.dir/utils/mac48-address.cc.o
[147/296] Building CXX object src/network/CMakeFiles/network.dir/utils/mac8-address.cc.o
[148/296] Building CXX object src/network/CMakeFiles/network.dir/utils/mac16-address.cc.o
[149/296] Building CXX object src/network/CMakeFiles/network.dir/utils/mac64-address.cc.o
[150/296] Building CXX object src/network/CMakeFiles/network.dir/utils/output-stream-wrapper.cc.o
[151/296] Building CXX object src/network/CMakeFiles/network.dir/utils/net-device-queue-interface.cc.o
[152/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-burst.cc.o
[153/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-socket-address.cc.o
[154/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-data-calculators.cc.o
[155/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-socket-factory.cc.o
[156/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-socket-client.cc.o
[157/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-probe.cc.o
[158/296] Building CXX object src/network/CMakeFiles/network.dir/utils/pcap-file-wrapper.cc.o
[159/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-socket-server.cc.o
[160/296] Building CXX object src/network/CMakeFiles/network.dir/utils/pcap-file.cc.o
[161/296] Building CXX object src/network/CMakeFiles/network.dir/utils/queue-limits.cc.o
[162/296] Building CXX object src/network/CMakeFiles/network.dir/utils/queue-item.cc.o
[163/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packet-socket.cc.o
[164/296] Building CXX object src/network/CMakeFiles/network.dir/utils/queue-size.cc.o
[165/296] Building CXX object src/network/CMakeFiles/network.dir/utils/packetbb.cc.o
[166/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-stats-debug.so
[167/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-antenna-debug.so
[168/296] Building CXX object src/network/CMakeFiles/network.dir/utils/radiotap-header.cc.o
[169/296] Building CXX object src/network/CMakeFiles/network.dir/utils/sll-header.cc.o
[170/296] Building CXX object src/network/CMakeFiles/network.dir/utils/timestamp-tag.cc.o
[171/296] Building CXX object src/network/CMakeFiles/network.dir/utils/simple-channel.cc.o
[172/296] Building CXX object src/network/CMakeFiles/network.dir/utils/queue.cc.o
[173/296] Building CXX object src/network/CMakeFiles/network.dir/utils/simple-net-device.cc.o
[174/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/box.cc.o
[175/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/helper/leo-orbit-node-helper.cc.o
[176/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/helper/group-mobility-helper.cc.o
[177/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/constant-acceleration-mobility-model.cc.o
[178/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/helper/mobility-helper.cc.o
[179/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/constant-position-mobility-model.cc.o
[180/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/helper/ns2-mobility-helper.cc.o
[181/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/constant-velocity-helper.cc.o
[182/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/constant-velocity-mobility-model.cc.o
[183/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/gauss-markov-mobility-model.cc.o
[184/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/geocentric-constant-position-mobility-model.cc.o
[185/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/geocentric-ecef-mobility-model.cc.o
[186/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/geographic-positions.cc.o
[187/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/leo-circular-orbit-position-allocator.cc.o
[188/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/leo-orbital-shell.cc.o
[189/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/hierarchical-mobility-model.cc.o
[190/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/leo-circular-orbit-mobility-model.cc.o
[191/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/mobility-model.cc.o
[192/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/random-direction-2d-mobility-model.cc.o
[193/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/rectangle.cc.o
[194/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/position-allocator.cc.o
[195/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/random-waypoint-mobility-model.cc.o
[196/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/steady-state-random-waypoint-mobility-model.cc.o
[197/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/random-walk-2d-mobility-model.cc.o
[198/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-network-debug.so
[199/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/waypoint.cc.o
[200/296] Building CXX object src/mobility/CMakeFiles/mobility.dir/model/waypoint-mobility-model.cc.o
[201/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-mobility-debug.so
[202/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/cost231-propagation-loss-model.cc.o
[203/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/itu-r-1411-los-propagation-loss-model.cc.o
[204/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/channel-condition-model.cc.o
[205/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/jakes-propagation-loss-model.cc.o
[206/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/jakes-process.cc.o
[207/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/itu-r-1411-nlos-over-rooftop-propagation-loss-model.cc.o
[208/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/kun-2600-mhz-propagation-loss-model.cc.o
[209/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/okumura-hata-propagation-loss-model.cc.o
[210/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/probabilistic-v2v-channel-condition-model.cc.o
[211/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/propagation-delay-model.cc.o
[212/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/three-gpp-v2v-propagation-loss-model.cc.o
[213/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/propagation-loss-model.cc.o
[214/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/helper/building-allocator.cc.o
[215/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/helper/building-container.cc.o
[216/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/helper/buildings-helper.cc.o
[217/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/building-list.cc.o
[218/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/buildings-channel-condition-model.cc.o
[219/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/helper/building-position-allocator.cc.o
[220/296] Building CXX object src/propagation/CMakeFiles/propagation.dir/model/three-gpp-propagation-loss-model.cc.o
[221/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/buildings-propagation-loss-model.cc.o
[222/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/building.cc.o
[223/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-propagation-debug.so
[224/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/itu-r-1238-propagation-loss-model.cc.o
[225/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/mobility-building-info.cc.o
[226/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/hybrid-buildings-propagation-loss-model.cc.o
[227/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/oh-buildings-propagation-loss-model.cc.o
[228/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/three-gpp-v2v-channel-condition-model.cc.o
[229/296] Building CXX object src/buildings/CMakeFiles/buildings.dir/model/random-walk-2d-outdoor-mobility-model.cc.o
[230/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-buildings-debug.so
[231/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/aloha-noack-mac-header.cc.o
[232/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/helper/spectrum-helper.cc.o
[233/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/helper/waveform-generator-helper.cc.o
[234/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/helper/tv-spectrum-transmitter-helper.cc.o
[235/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/helper/spectrum-analyzer-helper.cc.o
[236/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/helper/adhoc-aloha-noack-ideal-phy-helper.cc.o
[237/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/friis-spectrum-propagation-loss.cc.o
[238/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/constant-spectrum-propagation-loss.cc.o
[239/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/ism-spectrum-value-helper.cc.o
[240/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/half-duplex-ideal-phy-signal-parameters.cc.o
[241/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/microwave-oven-spectrum-value-helper.cc.o
[242/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/hexagonal-wraparound-model.cc.o
[243/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/matrix-based-channel-model.cc.o
[244/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/aloha-noack-net-device.cc.o
[245/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/non-communicating-net-device.cc.o
[246/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/half-duplex-ideal-phy.cc.o
[247/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/phased-array-spectrum-propagation-loss-model.cc.o
[248/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/single-model-spectrum-channel.cc.o
[249/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/multi-model-spectrum-channel.cc.o
[250/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-converter.cc.o
[251/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-model-300kHz-300GHz-log.cc.o
[252/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-model-ism2400MHz-res1MHz.cc.o
[253/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-error-model.cc.o
[254/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-analyzer.cc.o
[255/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-channel.cc.o
[256/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-model.cc.o
[257/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-interference.cc.o
[258/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-signal-parameters.cc.o
[259/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-phy.cc.o
[260/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-value.cc.o
[261/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-propagation-loss-model.cc.o
[262/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/spectrum-transmit-filter.cc.o
[263/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/three-gpp-spectrum-propagation-loss-model.cc.o
[264/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-module.cc.o
[265/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/wraparound-model.cc.o
[266/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/trace-fading-loss-model.cc.o
[267/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/tv-spectrum-transmitter.cc.o
[268/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/two-ray-spectrum-propagation-loss-model.cc.o
[269/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/waveform-generator.cc.o
[270/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-arl-routing-message.cc.o
[271/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-hello-header.cc.o
[272/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-legacy-crypto.cc.o
[273/296] Building CXX object scratch/nested-subdir/CMakeFiles/scratch-nested-subdir-lib.dir/lib/scratch-nested-subdir-library-source.cc.o
[274/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-opnet-ber-tables.cc.o
[275/296] Linking CXX static library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libscratch-nested-subdir-lib.a
[276/296] Building CXX object scratch/CMakeFiles/scratch_subdir_scratch-subdir.dir/subdir/scratch-subdir-additional-header.cc.o
[277/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-hop-security.cc.o
[278/296] Building CXX object contrib/csr/CMakeFiles/csr.dir/model/csr-opnet-packet-model.cc.o
[279/296] Building CXX object src/spectrum/CMakeFiles/spectrum.dir/model/three-gpp-channel-model.cc.o
[280/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-spectrum-debug.so
[281/296] Building CXX object scratch/CMakeFiles/scratch_scratch-simulator.dir/scratch-simulator.cc.o
[282/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-csr-debug.so
[283/296] Building CXX object scratch/nested-subdir/CMakeFiles/scratch_nested-subdir_scratch-nested-subdir-executable.dir/scratch-nested-subdir-executable.cc.o
[284/296] Building CXX object scratch/CMakeFiles/scratch_subdir_scratch-subdir.dir/subdir/scratch-subdir.cc.o
[285/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/scratch/nested-subdir/ns3-dev-scratch-nested-subdir-executable-debug
[286/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/scratch/ns3-dev-scratch-simulator-debug
[287/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/scratch/subdir/ns3-dev-scratch-subdir-debug
[288/296] Building CXX object utils/CMakeFiles/bench-packets.dir/bench-packets.cc.o
[289/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/utils/ns3-dev-bench-packets-debug
[290/296] Building CXX object utils/CMakeFiles/bench-scheduler.dir/bench-scheduler.cc.o
[291/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/utils/ns3-dev-bench-scheduler-debug
[292/296] Building CXX object utils/CMakeFiles/print-introspected-doxygen.dir/print-introspected-doxygen.cc.o
[293/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/utils/ns3-dev-print-introspected-doxygen-debug
[294/296] Building CXX object utils/CMakeFiles/perf-io.dir/perf/perf-io.cc.o
[295/296] Linking CXX executable /workspace/scratch/ab77b42f47ca/t18-native/engine/build/utils/perf/ns3-dev-perf-io-debug
