case_id,step,time_s,action,packet,peer,ack_packets,dack_packets,note
ceiling_global_capacity,97,0.096,SEND,w33,8,,,
ceiling_global_capacity,98,0.096,TX,w33,8,,,
ceiling_global_capacity,99,0.098,FEEDBACK,,8,w33,,
ceiling_global_capacity,100,0.099,SEND,w34,8,,,
ceiling_global_capacity,101,0.099,TX,w34,8,,,
ceiling_global_capacity,102,0.101,FEEDBACK,,8,w34,,
ceiling_global_capacity,103,0.102,SEND,w35,8,,,
ceiling_global_capacity,104,0.102,TX,w35,8,,,
ceiling_global_capacity,105,0.104,FEEDBACK,,8,w35,,
ceiling_global_capacity,106,0.105,SEND,w36,8,,,
ceiling_global_capacity,107,0.105,TX,w36,8,,,
ceiling_global_capacity,108,0.107,FEEDBACK,,8,w36,,
ceiling_global_capacity,109,0.108,SEND,w37,8,,,
ceiling_global_capacity,110,0.108,TX,w37,8,,,
ceiling_global_capacity,111,0.11,FEEDBACK,,8,w37,,
ceiling_global_capacity,112,0.111,SEND,w38,8,,,
ceiling_global_capacity,113,0.111,TX,w38,8,,,
ceiling_global_capacity,114,0.113,FEEDBACK,,8,w38,,
ceiling_global_capacity,115,0.114,SEND,w39,8,,,
ceiling_global_capacity,116,0.114,TX,w39,8,,,
ceiling_global_capacity,117,0.116,FEEDBACK,,8,w39,,
ceiling_global_capacity,118,0.117,SEND,w40,8,,,
ceiling_global_capacity,119,0.117,TX,w40,8,,,
ceiling_global_capacity,120,0.119,FEEDBACK,,8,w40,,
ceiling_global_capacity,121,0.12,SEND,w41,8,,,
ceiling_global_capacity,122,0.12,TX,w41,8,,,
ceiling_global_capacity,123,0.122,FEEDBACK,,8,w41,,
ceiling_global_capacity,124,0.123,SEND,w42,8,,,
ceiling_global_capacity,125,0.123,TX,w42,8,,,
ceiling_global_capacity,126,0.125,FEEDBACK,,8,w42,,
ceiling_global_capacity,127,0.126,SEND,w43,8,,,
ceiling_global_capacity,128,0.126,TX,w43,8,,,
ceiling_global_capacity,129,0.128,FEEDBACK,,8,w43,,
ceiling_global_capacity,130,0.129,SEND,w44,8,,,
ceiling_global_capacity,131,0.129,TX,w44,8,,,
ceiling_global_capacity,132,0.131,FEEDBACK,,8,w44,,
ceiling_global_capacity,133,0.132,SEND,w45,8,,,
ceiling_global_capacity,134,0.132,TX,w45,8,,,
ceiling_global_capacity,135,0.134,FEEDBACK,,8,w45,,
ceiling_global_capacity,136,0.135,SEND,w46,8,,,
ceiling_global_capacity,137,0.135,TX,w46,8,,,
ceiling_global_capacity,138,0.137,FEEDBACK,,8,w46,,
ceiling_global_capacity,139,0.138,SEND,w47,8,,,
ceiling_global_capacity,140,0.138,TX,w47,8,,,
ceiling_global_capacity,141,0.14,FEEDBACK,,8,w47,,
ceiling_global_capacity,142,0.141,SEND,w48,8,,,
ceiling_global_capacity,143,0.141,TX,w48,8,,,
ceiling_global_capacity,144,0.143,FEEDBACK,,8,w48,,
ceiling_global_capacity,145,0.144,SEND,w49,8,,,
ceiling_global_capacity,146,0.144,TX,w49,8,,,
ceiling_global_capacity,147,0.146,FEEDBACK,,8,w49,,
ceiling_global_capacity,148,0.147,SEND,w50,8,,,
ceiling_global_capacity,149,0.147,TX,w50,8,,,
ceiling_global_capacity,150,0.149,FEEDBACK,,8,w50,,
ceiling_global_capacity,151,0.15,SEND,w51,8,,,
ceiling_global_capacity,152,0.15,TX,w51,8,,,
ceiling_global_capacity,153,0.152,FEEDBACK,,8,w51,,
ceiling_global_capacity,154,0.2,SEND,full1,8,,,
ceiling_global_capacity,155,0.2,TX,full1,8,,,
ceiling_global_capacity,156,0.201,SEND,full2,8,,,
ceiling_global_capacity,157,0.201,TX,full2,8,,,
ceiling_global_capacity,158,0.202,SEND,full3,8,,,
ceiling_global_capacity,159,0.202,TX,full3,8,,,
ceiling_global_capacity,160,0.203,SEND,full4,8,,,
ceiling_global_capacity,161,0.203,TX,full4,8,,,
ceiling_global_capacity,162,0.204,SEND,full5,8,,,
ceiling_global_capacity,163,0.204,TX,full5,8,,,
ceiling_global_capacity,164,0.205,SEND,full6,8,,,
ceiling_global_capacity,165,0.205,TX,full6,8,,,
ceiling_global_capacity,166,0.206,SEND,full7,8,,,
ceiling_global_capacity,167,0.206,TX,full7,8,,,
ceiling_global_capacity,168,0.207,SEND,full8,8,,,
ceiling_global_capacity,169,0.207,TX,full8,8,,,
ceiling_global_capacity,170,0.208,SEND,full9,8,,,
ceiling_global_capacity,171,0.208,TX,full9,8,,,
ceiling_global_capacity,172,0.209,SEND,full10,8,,,
ceiling_global_capacity,173,0.209,TX,full10,8,,,
ceiling_global_capacity,174,0.21,SEND,full11,8,,,
ceiling_global_capacity,175,0.21,TX,full11,8,,,
ceiling_global_capacity,176,0.211,SEND,full12,8,,,
ceiling_global_capacity,177,0.211,TX,full12,8,,,
ceiling_global_capacity,178,0.212,SEND,full13,8,,,
ceiling_global_capacity,179,0.212,TX,full13,8,,,
ceiling_global_capacity,180,0.213,SEND,full14,8,,,
ceiling_global_capacity,181,0.213,TX,full14,8,,,
ceiling_global_capacity,182,0.214,SEND,full15,8,,,
ceiling_global_capacity,183,0.214,TX,full15,8,,,
ceiling_global_capacity,184,0.215,SEND,full16,8,,,
ceiling_global_capacity,185,0.215,TX,full16,8,,,
ceiling_global_capacity,186,0.216,SEND,full17,8,,,
ceiling_global_capacity,187,0.216,TX,full17,8,,,
ceiling_global_capacity,188,0.22,SEND,blocked,8,,,
ceiling_global_capacity,189,0.221,PROBE,,9,,,
ceiling_global_capacity,190,0.23,FEEDBACK,,8,full1,,
ceiling_global_capacity,191,0.24,SEND,peer9,9,,,
ceiling_global_capacity,192,0.24,TX,peer9,9,,,
ceiling_global_capacity,193,0.25,SEND,globalblocked,8,,,
ceiling_global_capacity,194,0.26,FEEDBACK,,8,full2;full3;full4;full5;full6;full7;full8;full9;full10;full11;full12;full13;full14;full15;full16;full17,,
ceiling_global_capacity,195,0.27,PROBE,,9,,,
ceiling_global_capacity,196,0.28,FEEDBACK,,9,peer9,,
grouped_feedback_order,1,0,SEND,w1,8,,,
grouped_feedback_order,2,0,TX,w1,8,,,
grouped_feedback_order,3,0.002,FEEDBACK,,8,w1,,
grouped_feedback_order,4,0.01,SEND,w2,8,,,
grouped_feedback_order,5,0.01,TX,w2,8,,,
grouped_feedback_order,6,0.012,FEEDBACK,,8,w2,,
grouped_feedback_order,7,0.02,SEND,w3,8,,,
grouped_feedback_order,8,0.02,TX,w3,8,,,
grouped_feedback_order,9,0.022,FEEDBACK,,8,w3,,
grouped_feedback_order,10,0.03,SEND,w4,8,,,
grouped_feedback_order,11,0.03,TX,w4,8,,,
grouped_feedback_order,12,0.032,FEEDBACK,,8,w4,,
grouped_feedback_order,13,0.04,SEND,w5,8,,,
grouped_feedback_order,14,0.04,TX,w5,8,,,
grouped_feedback_order,15,0.042,FEEDBACK,,8,w5,,
grouped_feedback_order,16,0.2,SEND,a,8,,,
grouped_feedback_order,17,0.2,TX,a,8,,,
grouped_feedback_order,18,0.21,SEND,b,8,,,
grouped_feedback_order,19,0.21,TX,b,8,,,
grouped_feedback_order,20,0.22,FEEDBACK,,8,a;b,b,
grouped_feedback_order,21,0.23,SEND,c,8,,,
grouped_feedback_order,22,0.23,TX,c,8,,,
grouped_feedback_order,23,0.24,SEND,d,8,,,
grouped_feedback_order,24,0.24,TX,d,8,,,
grouped_feedback_order,25,0.25,FEEDBACK,,8,c,d,
grouped_feedback_order,26,0.26,FEEDBACK,,8,c,d,
grouped_feedback_order,27,0.27,FEEDBACK,,8,d,,
grouped_feedback_order,28,20.251,PROBE,,8,,,
seed130_feedback_motif,1,0,SEND,prefix1,8,,,
seed130_feedback_motif,2,0,TX,prefix1,8,,,
seed130_feedback_motif,3,0.002,FEEDBACK,,8,prefix1,,
seed130_feedback_motif,4,0.01,SEND,prefix2,8,,,
seed130_feedback_motif,5,0.01,TX,prefix2,8,,,
seed130_feedback_motif,6,0.012,FEEDBACK,,8,prefix2,,
seed130_feedback_motif,7,0.02,SEND,prefix3,8,,,
seed130_feedback_motif,8,0.02,TX,prefix3,8,,,
seed130_feedback_motif,9,0.022,FEEDBACK,,8,prefix3,,
seed130_feedback_motif,10,0.03,SEND,prefix4,8,,,
seed130_feedback_motif,11,0.03,TX,prefix4,8,,,
seed130_feedback_motif,12,0.032,FEEDBACK,,8,prefix4,,
seed130_feedback_motif,13,0.04,SEND,prefix5,8,,,
seed130_feedback_motif,14,0.04,TX,prefix5,8,,,
seed130_feedback_motif,15,0.042,FEEDBACK,,8,prefix5,,
seed130_feedback_motif,16,0.05,SEND,prefix6,8,,,
seed130_feedback_motif,17,0.05,TX,prefix6,8,,,
seed130_feedback_motif,18,0.052,FEEDBACK,,8,prefix6,,
seed130_feedback_motif,19,0.1,SEND,old_retry,8,,,
seed130_feedback_motif,20,0.1,TX,old_retry,8,,,
seed130_feedback_motif,21,0.2,SEND,clean71,8,,,
seed130_feedback_motif,22,0.2,TX,clean71,8,,,
seed130_feedback_motif,23,0.202,FEEDBACK,,8,clean71,,
seed130_feedback_motif,24,0.3,SEND,clean81,8,,,
seed130_feedback_motif,25,0.3,TX,clean81,8,,,
seed130_feedback_motif,26,0.302,FEEDBACK,,8,clean81,,
seed130_feedback_motif,27,2.11,TX,old_retry,8,,,
seed130_feedback_motif,28,2.12,SEND,clean9,8,,,
seed130_feedback_motif,29,2.12,TX,clean9,8,,,
seed130_feedback_motif,30,2.13,FEEDBACK,,8,clean9;old_retry,,
