seed,node,source,destination,app_sequence,origin,ingress_peer,enqueue_event,identity_ordinal,same_app_nsdp_owners_before_enqueue,same_app_waiting_before_enqueue,forward_event,hop_admission_event,next_hop,hop_sequence,nsdp_release_event,completion_event,completion_reason,completion_resend_count,capacity_release_event,receiver_feedback_event,receiver_feedback_reason,ingress_hop_sequence,ingress_previous_feedback_event,ingress_previous_feedback_reason,ingress_same_hop_replay,enqueue_s,forward_s,hop_admission_s,completion_s,capacity_release_s,app_unique_delivered_by_stop,app_destination_delivery_events,app_first_delivery_event,app_first_delivery_s,status_at_stop
129,7,7,1,889,local,,22720,1,0,0,24980,24982,8,14,27331,27332,ack,1,27332,,,,,,,300.04,302.30229247,302.30229247,304.876292442,304.876292442,True,1,364131,669.497811086,released
129,8,8,1,890,local,,22724,1,0,0,42373,42375,2,16,44587,44588,ack,1,44588,,,,,,,300.04,321.308295374,321.308295374,324.246295346,324.246295346,False,0,,,released
129,2,2,1,891,local,,22746,1,0,0,26282,26284,4,18,28715,28716,ack,0,28716,,,,,,,300.06,303.73229366,303.73229366,306.332293632,306.332293632,True,1,136638,426.735811086,released
129,3,3,1,892,local,,22750,1,0,0,25710,25712,1,21,26442,26443,ack,0,26443,,,,,,,300.06,303.111108105,303.111108105,303.904108077,303.904108077,True,1,26355,303.781808077,released
129,4,4,1,893,local,,22754,1,0,0,53123,53125,5,18,54027,54028,ack,0,54028,,,,,,,300.06,335.292000056,335.292000056,336.245292444,336.245292444,True,1,81908,366.246811086,released
129,5,5,1,894,local,,22758,1,0,0,30616,30618,1,21,33640,33641,ack,1,33641,,,,,,,300.06,308.285111114,308.285111114,311.314111086,311.314111086,True,1,33423,311.087811086,released
129,7,7,1,895,local,,22762,1,0,0,27338,27340,8,15,28295,28296,ack,0,28296,,,,,,,300.06,304.87629247,304.87629247,305.864292442,305.864292442,True,1,351455,656.497811086,released
129,8,8,1,896,local,,22766,1,0,0,44594,44596,2,17,48143,48144,ack,2,48144,,,,,,,300.06,324.246295374,324.246295374,329.511295346,329.511295346,True,1,277435,576.963811086,released
129,2,2,1,897,local,,22794,1,0,0,26289,26291,4,19,29575,29576,ack,0,29576,,,,,,,300.08,303.73229366,303.73229366,307.229293632,307.229293632,True,1,138182,428.243811086,released
129,3,3,1,898,local,,22798,1,0,0,25717,25719,1,22,26818,26819,ack,0,26819,,,,,,,300.08,303.111108105,303.111108105,304.398108077,304.398108077,True,1,26702,304.223808077,released
129,4,4,1,899,local,,22802,1,0,0,54034,54036,5,19,54950,54951,ack,0,54951,,,,,,,300.08,336.245292472,336.245292472,337.129292444,337.129292444,True,1,102778,389.152811086,released
129,5,5,1,900,local,,22806,1,0,0,33647,33649,1,22,37187,37188,ack,1,37188,,,,,,,300.08,311.314111114,311.314111114,315.032111086,315.032111086,True,1,37016,314.857811086,released
129,7,7,1,901,local,,22810,1,0,0,27345,27347,8,16,28292,28293,ack,0,28293,,,,,,,300.08,304.87629247,304.87629247,305.864292442,305.864292442,True,1,391234,697.213811086,released
129,8,8,1,902,local,,22814,1,0,0,48150,48152,2,18,48576,48577,ack,0,48577,,,,,,,300.08,329.511295374,329.511295374,329.953295346,329.953295346,True,1,278019,577.704811086,released
129,2,2,1,903,local,,22845,1,0,0,28722,28724,4,20,40280,40281,no_ack,2,40281,,,,,,,300.1,306.33229366,306.33229366,318.626000028,318.626000028,False,0,,,released
129,3,3,1,904,local,,22849,1,0,0,26449,26451,1,23,27488,27489,ack,0,27489,,,,,,,300.1,303.904108105,303.904108105,305.019288077,305.019288077,True,1,27432,304.951808077,released
129,4,4,1,905,local,,22853,1,0,0,54957,54959,5,20,56481,56482,ack,0,56482,,,,,,,300.1,337.129292472,337.129292472,338.767292444,338.767292444,True,1,96847,382.795811086,released
129,5,5,1,906,local,,22857,1,0,0,37194,37196,1,23,39562,39563,ack,1,39563,,,,,,,300.1,315.032111114,315.032111114,317.814111086,317.814111086,True,1,39434,317.665811086,released
129,7,7,1,907,local,,22861,1,0,0,28302,28304,8,17,31905,31906,ack,1,31906,,,,,,,300.1,305.86429247,305.86429247,309.517292442,309.517292442,True,1,385238,690.986811086,released
129,8,8,1,908,local,,22865,1,0,0,48583,48585,2,19,48979,48980,ack,0,48980,,,,,,,300.1,329.953295374,329.953295374,330.486295346,330.486295346,True,1,280343,580.226811086,released
129,2,2,1,909,local,,22905,1,0,0,29582,29584,4,21,30349,30350,ack,0,30350,,,,,,,300.12,307.22929366,307.22929366,308.113293632,308.113293632,False,0,,,released
129,3,3,1,910,local,,22909,1,0,0,26825,26827,1,24,28682,28683,ack,0,28683,,,,,,,300.12,304.398108105,304.398108105,306.332288077,306.332288077,True,1,28161,305.731808077,released
129,4,4,1,911,local,,22913,1,0,0,56488,56490,5,21,61466,61467,ack,2,61467,,,,,,,300.12,338.767292472,338.767292472,344.526292444,344.526292444,True,1,108742,396.146811086,released
129,5,5,1,912,local,,22917,1,0,0,39569,39571,1,24,40004,40005,ack,0,40005,,,,,,,300.12,317.814111114,317.814111114,318.347111086,318.347111086,True,1,39868,318.172811086,released
129,7,7,1,913,local,,22921,1,0,0,28309,28311,8,18,29364,29365,ack,0,29365,,,,,,,300.12,305.86429247,305.86429247,307.008292442,307.008292442,False,0,,,released
129,8,8,1,914,local,,22925,1,0,0,48986,48988,2,20,49464,49465,ack,0,49465,,,,,,,300.12,330.486295374,330.486295374,331.019295346,331.019295346,True,1,282731,582.371811086,released
129,2,2,1,915,local,,22968,1,0,0,30356,30358,4,22,31438,31439,ack,0,31439,,,,,,,300.14,308.11329366,308.11329366,309.101293632,309.101293632,True,1,144577,435.016811086,released
129,3,3,1,916,local,,22972,1,0,0,27495,27497,1,25,28679,28680,ack,0,28680,,,,,,,300.14,305.019288105,305.019288105,306.332288077,306.332288077,True,1,28598,306.264808077,released
129,4,4,1,917,local,,22976,1,0,0,56495,56497,5,22,65656,65657,no_ack,2,65657,,,,,,,300.14,338.767292472,338.767292472,348.851000028,348.851000028,False,0,,,released
129,5,5,1,918,local,,22980,1,0,0,40011,40013,1,25,41109,41110,ack,0,41110,,,,,,,300.14,318.347111114,318.347111114,319.699111086,319.699111086,True,1,40671,319.069811086,released
129,7,7,1,919,local,,22984,1,0,0,29371,29373,8,19,30182,30183,ack,0,30183,,,,,,,300.14,307.00829247,307.00829247,307.970292442,307.970292442,True,1,353304,658.252811086,released
129,8,8,1,920,local,,22988,1,0,0,49471,49473,2,21,50108,50109,ack,0,50109,,,,,,,300.14,331.019295374,331.019295374,331.734295346,331.734295346,False,0,,,released
129,2,2,1,921,local,,23040,1,0,0,30363,30365,4,23,31435,31436,ack,0,31436,,,,,,,300.16,308.11329366,308.11329366,309.101293632,309.101293632,True,1,139622,429.738811086,released
129,3,3,1,922,local,,23044,1,0,0,27502,27504,1,26,30440,30441,ack,0,30441,,,,,,,300.16,305.019288105,305.019288105,308.168108077,308.168108077,True,1,29694,307.317808077,released
129,4,4,1,923,local,,23048,1,0,0,61473,61475,5,23,62756,62757,ack,0,62757,,,,,,,300.16,344.526292472,344.526292472,345.956292444,345.956292444,True,1,109309,396.822811086,released
129,5,5,1,924,local,,23052,1,0,0,41116,41118,1,26,48250,48251,ack,1,48251,,,,,,,300.16,319.699111114,319.699111114,329.527111086,329.527111086,True,1,47935,329.131811086,released
129,7,7,1,925,local,,23056,1,0,0,29378,29380,8,20,30179,30180,ack,0,30180,,,,,,,300.16,307.00829247,307.00829247,307.970292442,307.970292442,True,1,483153,783.117811086,released
129,8,8,1,926,local,,23060,1,0,0,49478,49480,2,22,50710,50711,ack,0,50711,,,,,,,300.16,331.019295374,331.019295374,332.553295346,332.553295346,True,1,284647,584.282811086,released
129,2,2,1,927,local,,23115,1,0,0,31445,31447,4,24,32599,32600,ack,0,32600,,,,,,,300.18,309.10129366,309.10129366,310.284293632,310.284293632,True,1,145469,436.043811086,released
129,3,3,1,928,local,,23119,1,0,0,28689,28691,1,27,30437,30438,ack,0,30438,,,,,,,300.18,306.332288105,306.332288105,308.168108077,308.168108077,True,1,30168,307.967808077,released
129,4,4,1,929,local,,23123,1,0,0,62763,62765,5,24,63536,63537,ack,0,63537,,,,,,,300.18,345.956292472,345.956292472,346.710292444,346.710292444,True,1,110710,398.382811086,released
129,5,5,1,930,local,,23127,1,0,0,48257,48259,1,27,49117,49118,ack,0,49118,,,,,,,300.18,329.527111114,329.527111114,330.567111086,330.567111086,True,1,48669,329.963811086,released
129,7,7,1,931,local,,23131,1,0,0,30189,30191,8,21,31112,31113,ack,0,31113,,,,,,,300.18,307.97029247,307.97029247,308.802292442,308.802292442,True,1,355954,661.047811086,released
129,8,8,1,932,local,,23135,1,0,0,50115,50117,2,23,50707,50708,ack,0,50708,,,,,,,300.18,331.734295374,331.734295374,332.553295346,332.553295346,True,1,287051,587.168811086,released
129,2,2,1,933,local,,23199,1,0,0,31452,31454,4,25,32596,32597,ack,0,32597,,,,,,,300.2,309.10129366,309.10129366,310.284293632,310.284293632,True,1,140441,430.791811086,released
129,3,3,1,934,local,,23203,1,0,0,28696,28698,1,28,31247,31248,ack,0,31248,,,,,,,300.2,306.332288105,306.332288105,308.909108077,308.909108077,True,1,31079,308.799808077,released
129,4,4,1,935,local,,23207,1,0,0,63543,63545,5,25,64641,64642,ack,0,64642,,,,,,,300.2,346.710292472,346.710292472,347.750292444,347.750292444,True,1,111438,399.149811086,released
129,5,5,1,936,local,,23211,1,0,0,48264,48266,1,28,49951,49952,ack,0,49952,,,,,,,300.2,329.527111114,329.527111114,331.542111086,331.542111086,True,1,49571,331.042811086,released
129,7,7,1,937,local,,23215,1,0,0,30196,30198,8,22,31109,31110,ack,0,31110,,,,,,,300.2,307.97029247,307.97029247,308.802292442,308.802292442,True,1,369546,674.502811086,released
129,8,8,1,938,local,,23219,1,0,0,50717,50719,2,24,56851,56852,ack,0,56852,,,,,,,300.2,332.553295374,332.553295374,339.079295346,339.079295346,False,0,,,released
129,2,2,1,939,local,,23286,1,0,0,32606,32608,4,26,33909,33910,ack,0,33910,,,,,,,300.22,310.28429366,310.28429366,311.623293632,311.623293632,True,1,141759,432.091811086,released
129,3,3,1,940,local,,23290,1,0,0,30447,30449,1,29,31828,31829,ack,0,31829,,,,,,,300.22,308.168108105,308.168108105,309.494108077,309.494108077,True,1,31694,309.345808077,released
129,4,4,1,941,local,,23294,1,0,0,64648,64650,5,26,65167,65168,ack,0,65168,,,,,,,300.22,347.750292472,347.750292472,348.296292444,348.296292444,True,1,111965,399.916811086,released
129,5,5,1,942,local,,23298,1,0,0,49124,49126,1,29,50867,50868,ack,0,50868,,,,,,,300.22,330.567111114,330.567111114,332.582111086,332.582111086,True,1,50226,331.796811086,released
129,7,7,1,943,local,,23302,1,0,0,31119,31121,8,23,32897,32898,ack,0,32898,,,,,,,300.22,308.80229247,308.80229247,310.596292442,310.596292442,True,1,542346,839.485811086,released
129,8,8,1,944,local,,23306,1,0,0,50724,50726,2,25,57378,57379,ack,0,57379,,,,,,,300.22,332.553295374,332.553295374,339.625295346,339.625295346,False,0,,,released
129,2,2,1,945,local,,23392,1,0,0,32613,32615,4,27,34538,34539,ack,0,34539,,,,,,,300.24,310.28429366,310.28429366,312.169293632,312.169293632,True,1,142975,433.235811086,released
129,3,3,1,946,local,,23396,1,0,0,30454,30456,1,30,32967,32968,ack,0,32968,,,,,,,300.24,308.168108105,308.168108105,310.609288077,310.609288077,True,1,32402,310.112808077,released
129,4,4,1,947,local,,23400,1,0,0,64655,64657,5,27,67760,67761,ack,1,67761,,,,,,,300.24,347.750292472,347.750292472,351.286292444,351.286292444,True,1,112330,400.163811086,released
129,5,5,1,948,local,,23404,1,0,0,49958,49960,1,30,50864,50865,ack,0,50865,,,,,,,300.24,331.542111114,331.542111114,332.582111086,332.582111086,True,1,50373,332.056811086,released
129,7,7,1,949,local,,23408,1,0,0,31126,31128,8,24,32894,32895,ack,0,32895,,,,,,,300.24,308.80229247,308.80229247,310.596292442,310.596292442,True,1,387955,694.041811086,released
129,8,8,1,950,local,,23412,1,0,0,50731,50733,2,26,58202,58203,ack,0,58203,,,,,,,300.24,332.553295374,332.553295374,340.561295346,340.561295346,True,1,350556,655.288811086,released
129,2,2,1,951,local,,23490,1,0,0,32620,32622,4,28,35386,35387,ack,0,35387,,,,,,,300.26,310.28429366,310.28429366,313.079293632,313.079293632,True,1,149344,440.866811086,released
129,3,3,1,952,local,,23494,1,0,0,30461,30463,1,31,32964,32965,ack,0,32965,,,,,,,300.26,308.168108105,308.168108105,310.609288077,310.609288077,True,1,32795,310.476808077,released
129,4,4,1,953,local,,23498,1,0,0,65174,65176,5,28,68175,68176,ack,1,68176,,,,,,,300.26,348.296292472,348.296292472,351.715292444,351.715292444,True,1,121780,410.264811086,released
129,5,5,1,954,local,,23502,1,0,0,50874,50876,1,31,52627,52628,ack,0,52628,,,,,,,300.26,332.582111114,332.582111114,334.753111086,334.753111086,True,1,51831,333.642811086,released
129,7,7,1,955,local,,23506,1,0,0,31133,31135,8,25,32891,32892,ack,0,32892,,,,,,,300.26,308.80229247,308.80229247,310.596292442,310.596292442,True,1,444045,745.859811086,released
129,8,8,1,956,local,,23510,1,0,0,56858,56860,2,27,58199,58200,ack,0,58200,,,,,,,300.26,339.079295374,339.079295374,340.561295346,340.561295346,False,0,,,released
129,2,2,1,957,local,,23594,1,0,0,33916,33918,4,29,35383,35384,ack,0,35384,,,,,,,300.28,311.62329366,311.62329366,313.079293632,313.079293632,False,0,,,released
129,3,3,1,958,local,,23598,1,0,0,31254,31256,1,32,34317,34318,ack,0,34318,,,,,,,300.28,308.909108105,308.909108105,312.029108077,312.029108077,True,1,33872,311.594808077,released
129,4,4,1,959,local,,23602,1,0,0,67767,67769,5,29,68970,68971,ack,0,68971,,,,,,,300.28,351.286292472,351.286292472,352.521292444,352.521292444,True,1,113881,402.048811086,released
129,5,5,1,960,local,,23606,1,0,0,50881,50883,1,32,52624,52625,ack,0,52625,,,,,,,300.28,332.582111114,332.582111114,334.753111086,334.753111086,True,1,52067,333.954811086,released
129,7,7,1,961,local,,23610,1,0,0,31912,31914,8,26,34097,34098,ack,0,34098,,,,,,,300.28,309.51729247,309.51729247,311.844292442,311.844292442,True,1,514688,812.107811086,released
129,8,8,1,962,local,,23614,1,0,0,57385,57387,2,28,58859,58860,ack,0,58860,,,,,,,300.28,339.625295374,339.625295374,341.406295346,341.406295346,True,1,341070,645.954811086,released
129,2,2,1,963,local,,23713,1,0,0,34545,34547,4,30,35840,35841,ack,0,35841,,,,,,,300.3,312.16929366,312.16929366,313.573293632,313.573293632,True,1,145044,435.523811086,released
129,3,3,1,964,local,,23717,1,0,0,31835,31837,1,33,34314,34315,ack,0,34315,,,,,,,300.3,309.494108105,309.494108105,312.029108077,312.029108077,True,1,34129,311.854808077,released
129,4,4,1,965,local,,23721,1,0,0,68182,68184,5,30,68967,68968,ack,0,68968,,,,,,,300.3,351.715292472,351.715292472,352.521292444,352.521292444,True,1,115360,403.413811086,released
129,5,5,1,966,local,,23725,1,0,0,50888,50890,1,33,52999,53000,ack,0,53000,,,,,,,300.3,332.582111114,332.582111114,335.156111086,335.156111086,True,1,52912,335.046811086,released
129,7,7,1,967,local,,23729,1,0,0,32904,32906,8,27,34094,34095,ack,0,34095,,,,,,,300.3,310.59629247,310.59629247,311.844292442,311.844292442,True,1,522825,820.128811086,released
129,8,8,1,968,local,,23733,1,0,0,58209,58211,2,29,58856,58857,ack,0,58857,,,,,,,300.3,340.561295374,340.561295374,341.406295346,341.406295346,True,1,344689,649.451811086,released
129,8,7,1,877,relay,7,23919,1,0,0,58216,58218,2,30,59769,59770,ack,0,59770,23921,ack,12,,,False,300.479812442,340.561295374,340.561295374,342.433295346,342.433295346,True,1,379417,685.383811086,released
129,4,2,1,873,relay,2,24280,1,0,0,68977,68979,5,31,69818,69819,ack,0,69819,24282,ack,15,,,False,301.524273632,352.521292472,352.521292472,353.288292444,353.288292444,True,1,132037,421.353811086,released
129,7,7,1,971,local,,24405,1,0,0,32911,32913,8,28,34928,34929,dack,0,50671,,,,,,,301.66,310.59629247,310.59629247,312.533292442,332.53329247,True,2,537052,834.285811086,released
129,3,3,1,973,local,,24556,1,0,0,31842,31844,1,34,35552,35553,ack,0,35553,,,,,,,301.8,309.494108105,309.494108105,313.209288077,313.209288077,True,1,35266,312.985808077,released
129,8,7,1,883,relay,7,24679,1,0,0,58223,58225,2,31,62811,62812,ack,1,62812,24680,ack,13,,,False,301.974812442,340.561295374,340.561295374,345.956295346,345.956295346,True,1,353118,657.966811086,released
129,2,2,1,975,local,,24735,1,0,0,34552,34554,4,31,36806,36807,ack,0,36807,,,,,,,301.98,312.16929366,312.16929366,314.574293632,314.574293632,True,1,149700,441.295811086,released
129,7,7,1,977,local,,25014,1,0,0,32918,32920,8,29,38184,38185,dack,1,53890,,,,,,,302.32,310.59629247,310.59629247,316.121292442,336.12129247,True,1,523979,821.324811086,released
129,3,3,1,978,local,,25138,1,0,0,32974,32976,1,35,36252,36253,ack,0,36253,,,,,,,302.42,310.609288105,310.609288105,314.028288077,314.028288077,True,1,35814,313.544808077,released
129,4,2,1,879,relay,2,25233,1,0,0,68984,68986,5,32,82778,82779,ack,1,82779,25234,ack,16,,,False,302.585813632,352.521292472,352.521292472,367.120292444,367.120292444,True,1,134718,424.798811086,released
129,2,2,1,981,local,,25526,1,0,0,35393,35395,4,32,42046,42047,dack,2,76724,,,,,,,302.94,313.07929366,313.07929366,320.931293632,360.93129366,True,1,154516,447.340811086,released
129,3,3,1,983,local,,25767,1,0,0,32981,32983,1,36,36249,36250,ack,0,36250,,,,,,,303.12,310.609288105,310.609288105,314.028288077,314.028288077,True,1,36167,313.934808077,released
129,5,5,1,984,local,,25772,1,0,0,52634,52636,1,34,57659,57660,ack,0,57660,,,,,,,303.12,334.753111114,334.753111114,339.940111086,339.940111086,True,1,57575,339.817811086,released
129,4,2,1,885,relay,2,26060,1,0,0,69825,69827,5,33,84164,84165,ack,1,84165,26061,ack,17,,,False,303.469813632,353.288292472,353.288292472,368.537292444,368.537292444,True,1,136110,426.085811086,released
129,2,2,1,986,local,,26310,1,0,0,35400,35402,4,33,38089,38090,dack,0,53781,,,,,,,303.74,313.07929366,313.07929366,316.017293632,336.01729366,False,0,,,released
129,3,3,1,988,local,,26503,1,0,0,34324,34326,1,37,37167,37168,ack,0,37168,,,,,,,303.92,312.029108105,312.029108105,315.032108077,315.032108077,True,1,36615,314.402808077,released
129,2,8,1,878,relay,8,26645,1,0,0,35847,35849,4,34,39090,39091,ack,0,39091,26647,ack,14,,,False,304.158815346,313.57329366,313.57329366,317.226293632,317.226293632,True,1,150490,442.569811086,released
129,3,3,1,991,local,,26864,1,0,0,34331,34333,1,38,37572,37573,ack,0,37573,,,,,,,304.4,312.029108105,312.029108105,315.461108077,315.461108077,True,1,37457,315.286808077,released
129,8,8,1,992,local,,26928,1,0,0,58866,58868,2,32,64287,64288,ack,2,64288,,,,,,,304.42,341.406295374,341.406295374,347.438295346,347.438295346,True,1,391471,697.460811086,released
129,8,7,1,889,relay,7,27242,1,0,0,58873,58875,2,33,60636,60637,ack,0,60637,27244,ack,14,,,False,304.769812442,341.406295374,341.406295374,343.642295346,343.642295346,True,1,364131,669.497811086,released
129,7,7,1,994,local,,27371,1,0,0,32925,32927,8,30,43085,43086,no_ack,2,43086,,,,,,,304.88,310.59629247,310.59629247,322.123000028,322.123000028,False,0,,,released
129,3,3,1,996,local,,27543,1,0,0,34338,34340,1,39,38421,38422,ack,0,38422,,,,,,,305.02,312.029108105,312.029108105,316.384108077,316.384108077,True,1,37884,315.767808077,released
129,8,7,1,895,relay,7,27906,1,0,0,58880,58882,2,34,61308,61309,ack,0,61309,27907,ack,15,,,False,305.419812442,341.406295374,341.406295374,344.396295346,344.396295346,True,1,351455,656.497811086,released
129,8,7,1,901,relay,7,28182,1,0,0,59776,59778,2,35,62808,62809,ack,0,62809,28183,ack,16,,,False,305.757812442,342.433295374,342.433295374,345.956295346,345.956295346,True,1,391234,697.213811086,released
129,7,7,1,1000,local,,28341,1,0,0,34104,34106,8,31,36627,36628,dack,0,52385,,,,,,,305.88,311.84429247,311.84429247,314.405292442,334.40529247,True,1,537609,834.935811086,released
129,7,7,1,1001,local,,28369,1,0,0,34111,34113,8,32,37341,37342,dack,0,52959,,,,,,,305.9,311.84429247,311.84429247,315.120292442,335.12029247,True,1,481279,781.466811086,released
129,4,2,1,891,relay,2,28602,1,0,0,69832,69834,5,34,84161,84162,ack,1,84162,28604,ack,18,,,False,306.264813632,353.288292472,353.288292472,368.537292444,368.537292444,True,1,136638,426.735811086,released
129,2,2,1,1004,local,,28745,1,0,0,35854,35856,4,35,39088,39089,dack,0,55115,,,,,,,306.34,313.57329366,313.57329366,317.226293632,337.22629366,False,0,,,released
129,3,3,1,1005,local,,28749,1,0,0,35559,35561,1,40,38418,38419,ack,0,38419,,,,,,,306.34,313.209288105,313.209288105,316.384108077,316.384108077,True,1,38282,316.222808077,released
129,3,3,1,1006,local,,28802,1,0,0,36259,36261,1,41,38804,38805,ack,0,38805,,,,,,,306.36,314.028288105,314.028288105,316.917108077,316.917108077,True,1,38675,316.755808077,released
129,8,7,1,913,relay,7,29090,1,0,0,60643,60645,2,36,62805,62806,ack,0,62806,29091,ack,18,,,False,306.771812442,343.642295374,343.642295374,345.956295346,345.956295346,False,0,,,released
129,4,2,1,897,relay,2,29194,1,0,0,82785,82787,5,35,86447,86448,ack,1,86448,29195,ack,19,,,False,306.888813632,367.120292472,367.120292472,371.332292444,371.332292444,True,1,138182,428.243811086,released
129,5,5,1,1010,local,,29315,1,0,0,52641,52643,1,35,58014,58015,ack,0,58015,,,,,,,306.96,334.753111114,334.753111114,340.369111086,340.369111086,True,1,57867,340.194811086,released
129,7,7,1,1011,local,,29403,1,0,0,50675,50677,8,33,51421,51422,dack,0,69681,,,,,,,307.02,332.533292498,332.533292498,333.216292442,353.21629247,True,1,544916,842.410811086,released
129,2,2,1,1012,local,,29604,1,0,0,36813,36815,4,36,40104,40105,dack,0,56120,,,,,,,307.24,314.57429366,314.57429366,318.383293632,338.38329366,True,1,152564,445.312811086,released
129,8,7,1,919,relay,7,29808,1,0,0,61315,61317,2,37,63318,63319,ack,0,63319,29809,ack,19,,,False,307.538812442,344.396295374,344.396295374,346.450295346,346.450295346,True,1,353304,658.252811086,released
129,8,7,1,925,relay,7,30013,1,0,0,61322,61324,2,38,64284,64285,ack,0,64285,30014,ack,20,,,False,307.798812442,344.396295374,344.396295374,347.438295346,347.438295346,True,1,483153,783.117811086,released
129,4,2,1,909,relay,2,30127,1,0,0,84171,84173,5,36,93381,93382,no_ack,2,93382,30128,ack,21,,,False,307.941813632,368.537292472,368.537292472,379.128000028,379.128000028,False,0,,,released
129,7,7,1,1019,local,,30219,1,0,0,52389,52391,8,34,52759,52760,dack,0,71214,,,,,,,307.98,334.405292498,334.405292498,334.802292442,354.80229247,True,1,559301,856.177811086,released
129,7,7,1,1020,local,,30264,1,0,0,52963,52965,8,35,53377,53378,dack,0,71892,,,,,,,308.0,335.120292498,335.120292498,335.517292442,355.51729247,True,1,558907,855.683811086,released
129,2,2,1,1021,local,,30384,1,0,0,39097,39099,4,37,40712,40713,dack,0,56975,,,,,,,308.12,317.22629366,317.22629366,319.124293632,339.12429366,True,1,154304,447.080811086,released
129,3,3,1,1022,local,,30490,1,0,0,36266,36268,1,42,39986,39987,ack,0,39987,,,,,,,308.18,314.028288105,314.028288105,318.347108077,318.347108077,True,1,39203,317.366808077,released
129,3,3,1,1023,local,,30512,1,0,0,36273,36275,1,43,44182,44183,ack,2,44183,,,,,,,308.2,314.028288105,314.028288105,323.765288077,323.765288077,True,1,43865,323.437808077,released
129,8,7,1,931,relay,7,30545,1,0,0,62818,62820,2,39,64281,64282,ack,0,64282,30546,ack,21,,,False,308.240812442,345.956295374,345.956295374,347.438295346,347.438295346,True,1,355954,661.047811086,released
129,5,5,1,1025,local,,30646,1,0,0,52648,52650,1,36,59054,59055,ack,0,59055,,,,,,,308.3,334.753111114,334.753111114,341.500111086,341.500111086,True,1,58633,341.078811086,released
