case_id,step,time_s,observe_s,action,packet,sequence,nwk_source,destination,ack_packets,dack_packets,note
dack_reassessment_after_release,9,0.18,0.180001,RX,r09,9,7,1,,,
dack_reassessment_after_release,10,0.19,0.190001,RX,r10,10,7,1,,,
dack_reassessment_after_release,11,0.20,0.200001,RX,r11,11,7,1,,,
dack_reassessment_after_release,12,0.21,0.210001,RX,r12,12,7,1,,,
dack_reassessment_after_release,13,0.22,0.220001,RX,r13,13,7,1,,,
dack_reassessment_after_release,14,0.23,0.230001,RX,r14,14,7,1,,,
dack_reassessment_after_release,15,0.24,0.240001,RX,r15,15,7,1,,,
dack_reassessment_after_release,16,0.25,0.250001,RX,r16,16,7,1,,,
dack_reassessment_after_release,17,0.26,0.260001,RX,r17,17,7,1,,,
dack_reassessment_after_release,18,0.27,0.270001,TX,,1,0,1,,,
dack_reassessment_after_release,19,0.28,0.280001,FEEDBACK,,0,0,1,1,,
dack_reassessment_after_release,20,0.29,0.290001,TX,,2,0,1,,,
dack_reassessment_after_release,21,0.30,0.300001,FEEDBACK,,0,0,1,2,,
dack_reassessment_after_release,22,0.31,0.310001,TX,,3,0,1,,,
dack_reassessment_after_release,23,0.32,0.320001,FEEDBACK,,0,0,1,3,,
dack_reassessment_after_release,24,0.33,0.330001,RX,r17,17,7,1,,,Replay after pressure drains uses pre-enqueue count fourteen.
release_idempotence,1,0.10,0.100001,LOCAL,l01,0,8,1,,,
release_idempotence,2,0.11,0.110001,LOCAL,l02,0,8,1,,,
release_idempotence,3,0.12,0.120001,TX,,1,0,1,,,
release_idempotence,4,0.13,0.130001,FEEDBACK,,0,0,1,1,,
release_idempotence,5,0.14,0.140001,FEEDBACK,,0,0,1,1,,
release_idempotence,6,0.15,0.150001,TX,,2,0,1,,,
release_idempotence,7,0.16,0.160001,FEEDBACK,,0,0,1,,2,
release_idempotence,8,0.17,0.170001,FEEDBACK,,0,0,1,,2,
release_idempotence,9,20.17,20.170001,PROBE,,0,0,1,,,Observe after ordinary delayed DACK capacity release.
local_delivery_bypass,1,0.10,0.100001,RX,r01,1,7,1,,,
local_delivery_bypass,2,0.11,0.110001,RX,r02,2,7,1,,,
local_delivery_bypass,3,0.12,0.120001,RX,r03,3,7,1,,,
local_delivery_bypass,4,0.13,0.130001,RX,r04,4,7,1,,,
local_delivery_bypass,5,0.14,0.140001,RX,r05,5,7,1,,,
local_delivery_bypass,6,0.15,0.150001,RX,r06,6,7,1,,,
local_delivery_bypass,7,0.16,0.160001,RX,r07,7,7,1,,,
local_delivery_bypass,8,0.17,0.170001,RX,r08,8,7,1,,,
local_delivery_bypass,9,0.18,0.180001,RX,r09,9,7,1,,,
local_delivery_bypass,10,0.19,0.190001,RX,r10,10,7,1,,,
local_delivery_bypass,11,0.20,0.200001,RX,r11,11,7,1,,,
local_delivery_bypass,12,0.21,0.210001,RX,r12,12,7,1,,,
local_delivery_bypass,13,0.22,0.220001,RX,r13,13,7,1,,,
local_delivery_bypass,14,0.23,0.230001,RX,r14,14,7,1,,,
local_delivery_bypass,15,0.24,0.240001,RX,r15,15,7,1,,,
local_delivery_bypass,16,0.25,0.250001,RX,r16,16,7,1,,,
local_delivery_bypass,17,0.26,0.260001,RX,r17,17,7,1,,,
local_delivery_bypass,18,0.27,0.270001,RX,to8,18,7,8,,,
local_delivery_bypass,19,0.28,0.280001,RX,to8,18,7,8,,,
