case,node,ordinal,min,max,draw
ab,2,32,0,31,7
ab,2,33,0,31,3
ab,2,34,0,31,7
ab,2,35,0,31,3
ab,2,36,0,31,7
ab,2,37,0,31,3
ab,2,38,0,31,7
ab,2,39,0,31,3
ab,2,40,0,31,7
ab,2,41,0,31,3
ab,2,42,0,31,7
ab,2,43,0,31,3
ab,2,44,0,31,7
ab,2,45,0,31,3
ab,2,46,0,31,7
ab,2,47,0,31,3
ab,2,48,0,31,7
ab,2,49,0,31,3
ab,2,50,0,31,7
ab,2,51,0,31,3
ab,2,52,0,31,7
ab,2,53,0,31,3
ab,2,54,0,31,7
ab,2,55,0,31,3
ab,2,56,0,31,7
ab,2,57,0,31,3
ab,2,58,0,31,7
ab,2,59,0,31,3
ab,2,60,0,31,7
ab,2,61,0,31,3
ab,2,62,0,31,7
ab,2,63,0,31,3
ab,2,64,0,31,7
ab,2,65,0,31,3
ab,2,66,0,31,7
ab,2,67,0,31,3
ab,2,68,0,31,7
ab,2,69,0,31,3
ab,2,70,0,31,7
ab,2,71,0,31,3
ab,2,72,0,31,7
ab,2,73,0,31,3
ab,2,74,0,31,7
ab,2,75,0,31,3
ab,2,76,0,31,7
ab,2,77,0,31,3
ab,2,78,0,31,7
ab,2,79,0,31,3
ab,2,80,0,31,7
ab,2,81,0,31,3
ab,2,82,0,31,7
ab,2,83,0,31,3
ab,2,84,0,31,7
ab,2,85,0,31,3
ab,2,86,0,31,7
ab,2,87,0,31,3
ab,2,88,0,31,7
ab,2,89,0,31,3
ab,2,90,0,31,7
ab,2,91,0,31,3
ab,2,92,0,31,7
ab,2,93,0,31,3
ab,2,94,0,31,7
ab,2,95,0,31,3
ab,2,96,0,31,7
ab,2,97,0,31,3
ab,2,98,0,31,7
ab,2,99,0,31,3
ab,2,100,0,31,7
ab,2,101,0,31,3
ab,2,102,0,31,7
ab,2,103,0,31,3
ab,2,104,0,31,7
ab,2,105,0,31,3
ab,2,106,0,31,7
ab,2,107,0,31,3
ab,2,108,0,31,7
ab,2,109,0,31,3
ab,2,110,0,31,7
ab,2,111,0,31,3
ab,2,112,0,31,7
ab,2,113,0,31,3
ab,2,114,0,31,7
ab,2,115,0,31,3
ab,2,116,0,31,7
ab,2,117,0,31,3
ab,2,118,0,31,7
ab,2,119,0,31,3
ab,2,120,0,31,7
ab,2,121,0,31,3
ab,2,122,0,31,7
ab,2,123,0,31,3
ab,2,124,0,31,7
ab,2,125,0,31,3
ab,2,126,0,31,7
ab,2,127,0,31,3
ab,2,128,0,31,7
ab,3,1,0,31,9
ab,3,2,0,31,1
ab,3,3,0,31,9
ab,3,4,0,31,1
ab,3,5,0,31,9
ab,3,6,0,31,1
ab,3,7,0,31,9
ab,3,8,0,31,1
ab,3,9,0,31,9
ab,3,10,0,31,1
ab,3,11,0,31,9
ab,3,12,0,31,1
ab,3,13,0,31,9
ab,3,14,0,31,1
ab,3,15,0,31,9
ab,3,16,0,31,1
ab,3,17,0,31,9
ab,3,18,0,31,1
ab,3,19,0,31,9
ab,3,20,0,31,1
ab,3,21,0,31,9
ab,3,22,0,31,1
ab,3,23,0,31,9
ab,3,24,0,31,1
ab,3,25,0,31,9
ab,3,26,0,31,1
ab,3,27,0,31,9
ab,3,28,0,31,1
ab,3,29,0,31,9
ab,3,30,0,31,1
ab,3,31,0,31,9
ab,3,32,0,31,1
ab,3,33,0,31,9
ab,3,34,0,31,1
ab,3,35,0,31,9
ab,3,36,0,31,1
ab,3,37,0,31,9
ab,3,38,0,31,1
ab,3,39,0,31,9
ab,3,40,0,31,1
ab,3,41,0,31,9
ab,3,42,0,31,1
ab,3,43,0,31,9
ab,3,44,0,31,1
ab,3,45,0,31,9
ab,3,46,0,31,1
ab,3,47,0,31,9
ab,3,48,0,31,1
ab,3,49,0,31,9
ab,3,50,0,31,1
ab,3,51,0,31,9
ab,3,52,0,31,1
ab,3,53,0,31,9
ab,3,54,0,31,1
ab,3,55,0,31,9
ab,3,56,0,31,1
ab,3,57,0,31,9
ab,3,58,0,31,1
ab,3,59,0,31,9
ab,3,60,0,31,1
ab,3,61,0,31,9
ab,3,62,0,31,1
ab,3,63,0,31,9
ab,3,64,0,31,1
ab,3,65,0,31,9
ab,3,66,0,31,1
ab,3,67,0,31,9
ab,3,68,0,31,1
ab,3,69,0,31,9
ab,3,70,0,31,1
ab,3,71,0,31,9
ab,3,72,0,31,1
ab,3,73,0,31,9
ab,3,74,0,31,1
ab,3,75,0,31,9
ab,3,76,0,31,1
ab,3,77,0,31,9
ab,3,78,0,31,1
ab,3,79,0,31,9
ab,3,80,0,31,1
ab,3,81,0,31,9
ab,3,82,0,31,1
ab,3,83,0,31,9
ab,3,84,0,31,1
ab,3,85,0,31,9
ab,3,86,0,31,1
ab,3,87,0,31,9
ab,3,88,0,31,1
ab,3,89,0,31,9
ab,3,90,0,31,1
ab,3,91,0,31,9
ab,3,92,0,31,1
ab,3,93,0,31,9
ab,3,94,0,31,1
ab,3,95,0,31,9
ab,3,96,0,31,1
ab,3,97,0,31,9
ab,3,98,0,31,1
ab,3,99,0,31,9
ab,3,100,0,31,1
ab,3,101,0,31,9
ab,3,102,0,31,1
ab,3,103,0,31,9
ab,3,104,0,31,1
ab,3,105,0,31,9
ab,3,106,0,31,1
ab,3,107,0,31,9
ab,3,108,0,31,1
ab,3,109,0,31,9
ab,3,110,0,31,1
ab,3,111,0,31,9
ab,3,112,0,31,1
ab,3,113,0,31,9
ab,3,114,0,31,1
ab,3,115,0,31,9
ab,3,116,0,31,1
ab,3,117,0,31,9
ab,3,118,0,31,1
ab,3,119,0,31,9
ab,3,120,0,31,1
ab,3,121,0,31,9
ab,3,122,0,31,1
ab,3,123,0,31,9
ab,3,124,0,31,1
ab,3,125,0,31,9
ab,3,126,0,31,1
ab,3,127,0,31,9
ab,3,128,0,31,1
ba,1,1,0,31,1
ba,1,2,0,31,1
ba,1,3,0,31,1
ba,1,4,0,31,1
ba,1,5,0,31,1
ba,1,6,0,31,1
ba,1,7,0,31,1
ba,1,8,0,31,1
ba,1,9,0,31,1
ba,1,10,0,31,1
ba,1,11,0,31,1
ba,1,12,0,31,1
ba,1,13,0,31,1
ba,1,14,0,31,1
ba,1,15,0,31,1
ba,1,16,0,31,1
ba,1,17,0,31,1
ba,1,18,0,31,1
ba,1,19,0,31,1
ba,1,20,0,31,1
ba,1,21,0,31,1
ba,1,22,0,31,1
ba,1,23,0,31,1
ba,1,24,0,31,1
ba,1,25,0,31,1
ba,1,26,0,31,1
ba,1,27,0,31,1
ba,1,28,0,31,1
ba,1,29,0,31,1
ba,1,30,0,31,1
ba,1,31,0,31,1
ba,1,32,0,31,1
ba,1,33,0,31,1
ba,1,34,0,31,1
ba,1,35,0,31,1
ba,1,36,0,31,1
ba,1,37,0,31,1
ba,1,38,0,31,1
ba,1,39,0,31,1
ba,1,40,0,31,1
ba,1,41,0,31,1
ba,1,42,0,31,1
ba,1,43,0,31,1
ba,1,44,0,31,1
ba,1,45,0,31,1
ba,1,46,0,31,1
ba,1,47,0,31,1
ba,1,48,0,31,1
ba,1,49,0,31,1
ba,1,50,0,31,1
ba,1,51,0,31,1
ba,1,52,0,31,1
ba,1,53,0,31,1
ba,1,54,0,31,1
ba,1,55,0,31,1
ba,1,56,0,31,1
ba,1,57,0,31,1
ba,1,58,0,31,1
ba,1,59,0,31,1
ba,1,60,0,31,1
ba,1,61,0,31,1
ba,1,62,0,31,1
ba,1,63,0,31,1
ba,1,64,0,31,1
ba,1,65,0,31,1
ba,1,66,0,31,1
ba,1,67,0,31,1
ba,1,68,0,31,1
ba,1,69,0,31,1
ba,1,70,0,31,1
ba,1,71,0,31,1
ba,1,72,0,31,1
ba,1,73,0,31,1
ba,1,74,0,31,1
ba,1,75,0,31,1
ba,1,76,0,31,1
ba,1,77,0,31,1
ba,1,78,0,31,1
ba,1,79,0,31,1
ba,1,80,0,31,1
ba,1,81,0,31,1
ba,1,82,0,31,1
ba,1,83,0,31,1
ba,1,84,0,31,1
ba,1,85,0,31,1
ba,1,86,0,31,1
ba,1,87,0,31,1
ba,1,88,0,31,1
ba,1,89,0,31,1
ba,1,90,0,31,1
ba,1,91,0,31,1
ba,1,92,0,31,1
ba,1,93,0,31,1
ba,1,94,0,31,1
ba,1,95,0,31,1
ba,1,96,0,31,1
ba,1,97,0,31,1
ba,1,98,0,31,1
ba,1,99,0,31,1
ba,1,100,0,31,1
ba,1,101,0,31,1
ba,1,102,0,31,1
ba,1,103,0,31,1
ba,1,104,0,31,1
ba,1,105,0,31,1
ba,1,106,0,31,1
ba,1,107,0,31,1
ba,1,108,0,31,1
ba,1,109,0,31,1
ba,1,110,0,31,1
ba,1,111,0,31,1
ba,1,112,0,31,1
ba,1,113,0,31,1
ba,1,114,0,31,1
ba,1,115,0,31,1
ba,1,116,0,31,1
ba,1,117,0,31,1
ba,1,118,0,31,1
ba,1,119,0,31,1
ba,1,120,0,31,1
ba,1,121,0,31,1
ba,1,122,0,31,1
ba,1,123,0,31,1
ba,1,124,0,31,1
ba,1,125,0,31,1
ba,1,126,0,31,1
ba,1,127,0,31,1
ba,1,128,0,31,1
ba,2,1,0,31,9
ba,2,2,0,31,1
ba,2,3,0,31,9
ba,2,4,0,31,1
ba,2,5,0,31,9
ba,2,6,0,31,1
ba,2,7,0,31,9
ba,2,8,0,31,1
ba,2,9,0,31,9
ba,2,10,0,31,1
ba,2,11,0,31,9
ba,2,12,0,31,1
ba,2,13,0,31,9
ba,2,14,0,31,1
ba,2,15,0,31,9
ba,2,16,0,31,1
ba,2,17,0,31,9
ba,2,18,0,31,1
ba,2,19,0,31,9
ba,2,20,0,31,1
ba,2,21,0,31,9
ba,2,22,0,31,1
ba,2,23,0,31,9
ba,2,24,0,31,1
ba,2,25,0,31,9
ba,2,26,0,31,1
ba,2,27,0,31,9
ba,2,28,0,31,1
ba,2,29,0,31,9
ba,2,30,0,31,1
ba,2,31,0,31,9
ba,2,32,0,31,1
ba,2,33,0,31,9
ba,2,34,0,31,1
ba,2,35,0,31,9
ba,2,36,0,31,1
ba,2,37,0,31,9
ba,2,38,0,31,1
ba,2,39,0,31,9
ba,2,40,0,31,1
ba,2,41,0,31,9
ba,2,42,0,31,1
ba,2,43,0,31,9
ba,2,44,0,31,1
ba,2,45,0,31,9
ba,2,46,0,31,1
ba,2,47,0,31,9
ba,2,48,0,31,1
ba,2,49,0,31,9
ba,2,50,0,31,1
ba,2,51,0,31,9
ba,2,52,0,31,1
ba,2,53,0,31,9
ba,2,54,0,31,1
ba,2,55,0,31,9
ba,2,56,0,31,1
ba,2,57,0,31,9
ba,2,58,0,31,1
ba,2,59,0,31,9
ba,2,60,0,31,1
ba,2,61,0,31,9
ba,2,62,0,31,1
ba,2,63,0,31,9
ba,2,64,0,31,1
ba,2,65,0,31,9
ba,2,66,0,31,1
ba,2,67,0,31,9
ba,2,68,0,31,1
ba,2,69,0,31,9
ba,2,70,0,31,1
ba,2,71,0,31,9
ba,2,72,0,31,1
ba,2,73,0,31,9
ba,2,74,0,31,1
ba,2,75,0,31,9
ba,2,76,0,31,1
ba,2,77,0,31,9
ba,2,78,0,31,1
ba,2,79,0,31,9
ba,2,80,0,31,1
ba,2,81,0,31,9
ba,2,82,0,31,1
ba,2,83,0,31,9
ba,2,84,0,31,1
ba,2,85,0,31,9
ba,2,86,0,31,1
ba,2,87,0,31,9
ba,2,88,0,31,1
ba,2,89,0,31,9
ba,2,90,0,31,1
ba,2,91,0,31,9
ba,2,92,0,31,1
ba,2,93,0,31,9
ba,2,94,0,31,1
ba,2,95,0,31,9
ba,2,96,0,31,1
ba,2,97,0,31,9
ba,2,98,0,31,1
ba,2,99,0,31,9
ba,2,100,0,31,1
ba,2,101,0,31,9
ba,2,102,0,31,1
ba,2,103,0,31,9
ba,2,104,0,31,1
ba,2,105,0,31,9
ba,2,106,0,31,1
ba,2,107,0,31,9
ba,2,108,0,31,1
ba,2,109,0,31,9
ba,2,110,0,31,1
ba,2,111,0,31,9
ba,2,112,0,31,1
ba,2,113,0,31,9
ba,2,114,0,31,1
ba,2,115,0,31,9
ba,2,116,0,31,1
ba,2,117,0,31,9
ba,2,118,0,31,1
ba,2,119,0,31,9
ba,2,120,0,31,1
ba,2,121,0,31,9
ba,2,122,0,31,1
ba,2,123,0,31,9
ba,2,124,0,31,1
ba,2,125,0,31,9
ba,2,126,0,31,1
ba,2,127,0,31,9
ba,2,128,0,31,1
ba,3,1,0,31,3
ba,3,2,0,31,7
ba,3,3,0,31,3
ba,3,4,0,31,7
ba,3,5,0,31,3
ba,3,6,0,31,7
ba,3,7,0,31,3
ba,3,8,0,31,7
ba,3,9,0,31,3
ba,3,10,0,31,7
ba,3,11,0,31,3
ba,3,12,0,31,7
ba,3,13,0,31,3
ba,3,14,0,31,7
ba,3,15,0,31,3
ba,3,16,0,31,7
ba,3,17,0,31,3
ba,3,18,0,31,7
ba,3,19,0,31,3
ba,3,20,0,31,7
ba,3,21,0,31,3
ba,3,22,0,31,7
ba,3,23,0,31,3
ba,3,24,0,31,7
ba,3,25,0,31,3
ba,3,26,0,31,7
ba,3,27,0,31,3
ba,3,28,0,31,7
ba,3,29,0,31,3
ba,3,30,0,31,7
ba,3,31,0,31,3
ba,3,32,0,31,7
ba,3,33,0,31,3
ba,3,34,0,31,7
ba,3,35,0,31,3
ba,3,36,0,31,7
ba,3,37,0,31,3
ba,3,38,0,31,7
ba,3,39,0,31,3
ba,3,40,0,31,7
ba,3,41,0,31,3
ba,3,42,0,31,7
ba,3,43,0,31,3
ba,3,44,0,31,7
ba,3,45,0,31,3
ba,3,46,0,31,7
ba,3,47,0,31,3
ba,3,48,0,31,7
ba,3,49,0,31,3
ba,3,50,0,31,7
ba,3,51,0,31,3
ba,3,52,0,31,7
ba,3,53,0,31,3
ba,3,54,0,31,7
ba,3,55,0,31,3
ba,3,56,0,31,7
ba,3,57,0,31,3
ba,3,58,0,31,7
ba,3,59,0,31,3
ba,3,60,0,31,7
ba,3,61,0,31,3
ba,3,62,0,31,7
ba,3,63,0,31,3
ba,3,64,0,31,7
ba,3,65,0,31,3
ba,3,66,0,31,7
ba,3,67,0,31,3
ba,3,68,0,31,7
ba,3,69,0,31,3
ba,3,70,0,31,7
ba,3,71,0,31,3
ba,3,72,0,31,7
ba,3,73,0,31,3
ba,3,74,0,31,7
ba,3,75,0,31,3
ba,3,76,0,31,7
ba,3,77,0,31,3
ba,3,78,0,31,7
ba,3,79,0,31,3
ba,3,80,0,31,7
ba,3,81,0,31,3
ba,3,82,0,31,7
ba,3,83,0,31,3
ba,3,84,0,31,7
ba,3,85,0,31,3
ba,3,86,0,31,7
ba,3,87,0,31,3
ba,3,88,0,31,7
ba,3,89,0,31,3
ba,3,90,0,31,7
ba,3,91,0,31,3
ba,3,92,0,31,7
ba,3,93,0,31,3
ba,3,94,0,31,7
ba,3,95,0,31,3
ba,3,96,0,31,7
ba,3,97,0,31,3
ba,3,98,0,31,7
ba,3,99,0,31,3
ba,3,100,0,31,7
ba,3,101,0,31,3
ba,3,102,0,31,7
ba,3,103,0,31,3
ba,3,104,0,31,7
ba,3,105,0,31,3
ba,3,106,0,31,7
ba,3,107,0,31,3
ba,3,108,0,31,7
ba,3,109,0,31,3
ba,3,110,0,31,7
ba,3,111,0,31,3
ba,3,112,0,31,7
ba,3,113,0,31,3
ba,3,114,0,31,7
ba,3,115,0,31,3
ba,3,116,0,31,7
ba,3,117,0,31,3
ba,3,118,0,31,7
ba,3,119,0,31,3
ba,3,120,0,31,7
ba,3,121,0,31,3
ba,3,122,0,31,7
ba,3,123,0,31,3
ba,3,124,0,31,7
ba,3,125,0,31,3
ba,3,126,0,31,7
ba,3,127,0,31,3
ba,3,128,0,31,7
slow,1,1,0,31,28
slow,1,2,0,31,28
slow,1,3,0,31,28
slow,1,4,0,31,28
slow,1,5,0,31,28
slow,1,6,0,31,28
slow,1,7,0,31,28
slow,1,8,0,31,28
slow,1,9,0,31,28
slow,1,10,0,31,28
slow,1,11,0,31,28
slow,1,12,0,31,28
slow,1,13,0,31,28
slow,1,14,0,31,28
slow,1,15,0,31,28
slow,1,16,0,31,28
slow,1,17,0,31,28
slow,1,18,0,31,28
slow,1,19,0,31,28
slow,1,20,0,31,28
slow,1,21,0,31,28
slow,1,22,0,31,28
slow,1,23,0,31,28
slow,1,24,0,31,28
slow,1,25,0,31,28
slow,1,26,0,31,28
slow,1,27,0,31,28
slow,1,28,0,31,28
slow,1,29,0,31,28
slow,1,30,0,31,28
slow,1,31,0,31,28
slow,1,32,0,31,28
slow,1,33,0,31,28
slow,1,34,0,31,28
slow,1,35,0,31,28
slow,1,36,0,31,28
slow,1,37,0,31,28
slow,1,38,0,31,28
slow,1,39,0,31,28
slow,1,40,0,31,28
slow,1,41,0,31,28
slow,1,42,0,31,28
slow,1,43,0,31,28
slow,1,44,0,31,28
slow,1,45,0,31,28
slow,1,46,0,31,28
slow,1,47,0,31,28
slow,1,48,0,31,28
slow,1,49,0,31,28
slow,1,50,0,31,28
slow,1,51,0,31,28
slow,1,52,0,31,28
slow,1,53,0,31,28
slow,1,54,0,31,28
slow,1,55,0,31,28
slow,1,56,0,31,28
slow,1,57,0,31,28
slow,1,58,0,31,28
slow,1,59,0,31,28
slow,1,60,0,31,28
slow,1,61,0,31,28
slow,1,62,0,31,28
slow,1,63,0,31,28
slow,1,64,0,31,28
slow,1,65,0,31,28
slow,1,66,0,31,28
slow,1,67,0,31,28
slow,1,68,0,31,28
slow,1,69,0,31,28
slow,1,70,0,31,28
slow,1,71,0,31,28
slow,1,72,0,31,28
slow,1,73,0,31,28
slow,1,74,0,31,28
slow,1,75,0,31,28
slow,1,76,0,31,28
slow,1,77,0,31,28
slow,1,78,0,31,28
slow,1,79,0,31,28
slow,1,80,0,31,28
slow,1,81,0,31,28
slow,1,82,0,31,28
slow,1,83,0,31,28
slow,1,84,0,31,28
slow,1,85,0,31,28
slow,1,86,0,31,28
slow,1,87,0,31,28
slow,1,88,0,31,28
slow,1,89,0,31,28
slow,1,90,0,31,28
slow,1,91,0,31,28
slow,1,92,0,31,28
slow,1,93,0,31,28
slow,1,94,0,31,28
slow,1,95,0,31,28
slow,1,96,0,31,28
slow,1,97,0,31,28
slow,1,98,0,31,28
slow,1,99,0,31,28
slow,1,100,0,31,28
slow,1,101,0,31,28
slow,1,102,0,31,28
slow,1,103,0,31,28
slow,1,104,0,31,28
slow,1,105,0,31,28
slow,1,106,0,31,28
slow,1,107,0,31,28
slow,1,108,0,31,28
slow,1,109,0,31,28
slow,1,110,0,31,28
slow,1,111,0,31,28
slow,1,112,0,31,28
slow,1,113,0,31,28
slow,1,114,0,31,28
slow,1,115,0,31,28
slow,1,116,0,31,28
slow,1,117,0,31,28
slow,1,118,0,31,28
slow,1,119,0,31,28
slow,1,120,0,31,28
slow,1,121,0,31,28
slow,1,122,0,31,28
slow,1,123,0,31,28
slow,1,124,0,31,28
slow,1,125,0,31,28
slow,1,126,0,31,28
slow,1,127,0,31,28
slow,1,128,0,31,28
slow,2,1,0,31,3
slow,2,2,0,31,7
slow,2,3,0,31,3
slow,2,4,0,31,7
slow,2,5,0,31,3
slow,2,6,0,31,7
slow,2,7,0,31,3
slow,2,8,0,31,7
slow,2,9,0,31,3
slow,2,10,0,31,7
slow,2,11,0,31,3
slow,2,12,0,31,7
slow,2,13,0,31,3
slow,2,14,0,31,7
slow,2,15,0,31,3
slow,2,16,0,31,7
slow,2,17,0,31,3
slow,2,18,0,31,7
slow,2,19,0,31,3
slow,2,20,0,31,7
slow,2,21,0,31,3
slow,2,22,0,31,7
slow,2,23,0,31,3
slow,2,24,0,31,7
slow,2,25,0,31,3
slow,2,26,0,31,7
slow,2,27,0,31,3
slow,2,28,0,31,7
slow,2,29,0,31,3
slow,2,30,0,31,7
slow,2,31,0,31,3
slow,2,32,0,31,7
slow,2,33,0,31,3
slow,2,34,0,31,7
slow,2,35,0,31,3
slow,2,36,0,31,7
slow,2,37,0,31,3
slow,2,38,0,31,7
slow,2,39,0,31,3
slow,2,40,0,31,7
slow,2,41,0,31,3
slow,2,42,0,31,7
slow,2,43,0,31,3
slow,2,44,0,31,7
slow,2,45,0,31,3
slow,2,46,0,31,7
slow,2,47,0,31,3
slow,2,48,0,31,7
slow,2,49,0,31,3
slow,2,50,0,31,7
slow,2,51,0,31,3
slow,2,52,0,31,7
slow,2,53,0,31,3
slow,2,54,0,31,7
slow,2,55,0,31,3
slow,2,56,0,31,7
slow,2,57,0,31,3
slow,2,58,0,31,7
slow,2,59,0,31,3
slow,2,60,0,31,7
slow,2,61,0,31,3
slow,2,62,0,31,7
slow,2,63,0,31,3
slow,2,64,0,31,7
slow,2,65,0,31,3
slow,2,66,0,31,7
slow,2,67,0,31,3
slow,2,68,0,31,7
slow,2,69,0,31,3
slow,2,70,0,31,7
slow,2,71,0,31,3
slow,2,72,0,31,7
slow,2,73,0,31,3
slow,2,74,0,31,7
slow,2,75,0,31,3
slow,2,76,0,31,7
slow,2,77,0,31,3
slow,2,78,0,31,7
slow,2,79,0,31,3
slow,2,80,0,31,7
slow,2,81,0,31,3
slow,2,82,0,31,7
slow,2,83,0,31,3
slow,2,84,0,31,7
slow,2,85,0,31,3
slow,2,86,0,31,7
slow,2,87,0,31,3
slow,2,88,0,31,7
slow,2,89,0,31,3
slow,2,90,0,31,7
slow,2,91,0,31,3
slow,2,92,0,31,7
slow,2,93,0,31,3
slow,2,94,0,31,7
slow,2,95,0,31,3
slow,2,96,0,31,7
slow,2,97,0,31,3
slow,2,98,0,31,7
slow,2,99,0,31,3
slow,2,100,0,31,7
slow,2,101,0,31,3
slow,2,102,0,31,7
slow,2,103,0,31,3
slow,2,104,0,31,7
slow,2,105,0,31,3
slow,2,106,0,31,7
slow,2,107,0,31,3
slow,2,108,0,31,7
slow,2,109,0,31,3
slow,2,110,0,31,7
slow,2,111,0,31,3
slow,2,112,0,31,7
slow,2,113,0,31,3
slow,2,114,0,31,7
slow,2,115,0,31,3
slow,2,116,0,31,7
slow,2,117,0,31,3
slow,2,118,0,31,7
slow,2,119,0,31,3
slow,2,120,0,31,7
slow,2,121,0,31,3
slow,2,122,0,31,7
slow,2,123,0,31,3
slow,2,124,0,31,7
slow,2,125,0,31,3
slow,2,126,0,31,7
slow,2,127,0,31,3
slow,2,128,0,31,7
slow,3,1,0,31,9
slow,3,2,0,31,1
slow,3,3,0,31,9
slow,3,4,0,31,1
slow,3,5,0,31,9
slow,3,6,0,31,1
slow,3,7,0,31,9
slow,3,8,0,31,1
slow,3,9,0,31,9
slow,3,10,0,31,1
slow,3,11,0,31,9
slow,3,12,0,31,1
slow,3,13,0,31,9
slow,3,14,0,31,1
slow,3,15,0,31,9
slow,3,16,0,31,1
slow,3,17,0,31,9
slow,3,18,0,31,1
slow,3,19,0,31,9
slow,3,20,0,31,1
slow,3,21,0,31,9
slow,3,22,0,31,1
slow,3,23,0,31,9
slow,3,24,0,31,1
slow,3,25,0,31,9
slow,3,26,0,31,1
slow,3,27,0,31,9
slow,3,28,0,31,1
slow,3,29,0,31,9
slow,3,30,0,31,1
slow,3,31,0,31,9
slow,3,32,0,31,1
slow,3,33,0,31,9
slow,3,34,0,31,1
slow,3,35,0,31,9
slow,3,36,0,31,1
slow,3,37,0,31,9
slow,3,38,0,31,1
slow,3,39,0,31,9
slow,3,40,0,31,1
slow,3,41,0,31,9
slow,3,42,0,31,1
slow,3,43,0,31,9
slow,3,44,0,31,1
slow,3,45,0,31,9
slow,3,46,0,31,1
slow,3,47,0,31,9
slow,3,48,0,31,1
slow,3,49,0,31,9
slow,3,50,0,31,1
